Users,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,class
User 1,4964,4964,0,27.46,73.79,12.63,45.65,14.38,9.49,5.1,0.73,2.46,0.66,0.54,4.9,3.59,14,8.38,2.16,10.31,0.64,4.47,9.05,3.63,2.1,2.4,10.54,1.29,8.52,0.71,0.24,0.64,7.17,4.53,2.66,0.3,1.45,0.42,12.63,1.57,1.25,1.33,1.83,1.49,0.66,2.64,2.72,2.64,1.23,0.66,0.58,3.67,2.38,0.34,0.95,0.14,10.11,1.63,4.01,4.61,1.01,1.59,0.79,0.18,0.97,0.22,0.12,1.21,0,0.3,1
User 2,3243,3243,0,22.76,79.77,10.98,42.4,13.69,10.48,7.74,0.06,1.73,0.56,0.4,3.21,2.28,11.13,6.41,1.97,7.37,0.37,4.07,10.76,2.87,2.28,2.07,7.4,0.83,5.95,0.37,0.09,0.52,12.37,5.24,7.22,0.22,1.33,5.18,13.38,1.33,0.89,0.86,1.02,2.16,0.43,4.22,2.81,5.61,1.48,2.16,1.7,10.18,8.66,0.71,0.71,0.25,8.82,1.33,3.55,3.98,0.28,0.59,0.56,0.28,0.34,0.15,0.12,0.25,0,0.43,1
User 3,6850,3425,0.01,27.24,77.05,15.56,47.82,13.71,8.96,5.9,0.18,1.61,0.77,0.51,4.74,4.09,12.92,8.34,2.35,9.07,0.7,4.67,9.74,5.42,2.5,1.68,7.27,0.29,7.65,0.31,0.23,0.88,6.63,3.85,2.74,0.32,0.77,0.96,14.79,1.93,1.42,1.53,2,0.98,0.35,3.75,3.61,3.47,1.52,0.88,0.96,4.01,2.53,0.77,0.39,0.39,10.19,1.02,4.55,4.88,1.42,1.07,1.12,0.26,0.25,0.22,0.07,0.57,0.07,0.53,1
User 4,9987,9987,0,19.66,74.91,10.81,46.9,14.97,10.49,7.75,0.46,1.17,0.51,0.6,4.48,4.07,14.96,9.55,3.02,10.21,0.89,4.62,7.64,4.81,2.07,1.5,11.55,0.41,6.57,0.11,0.24,0.69,6.46,3.75,2.74,0.4,0.8,0.92,12.27,1.34,1.06,1.64,1.34,0.76,0.54,3.02,3.16,2.82,1.32,0.68,0.7,3.09,1.63,0.44,0.78,0.31,10.5,1.64,4.01,5.29,1.25,1.28,1.09,0.33,0.87,0.53,0.16,1.22,0.1,0.67,1
User 5,719,719,0.14,36.58,76.77,10.43,44.92,19.05,15.16,8.21,1.11,4.87,0.56,0.42,3.89,2.92,14.05,6.4,0.83,10.57,1.25,3.62,7.09,2.78,2.09,2.36,13.91,0.14,13.63,0.42,0.14,0.97,10.43,4.73,5.7,0.14,0.56,4.17,16.13,0.97,1.25,2.36,3.34,2.78,0.7,3.76,2.23,3.48,1.81,1.39,0.14,4.73,3.48,0.28,0.97,0,10.85,1.53,3.2,5.98,0,0.28,0.42,0,0.28,0.83,0.14,0.28,0,0,1
User 6,4624,4624,0,26.88,68.53,10.9,40.53,12.82,8.8,5.75,0.54,1.73,0.54,0.24,4.02,3.14,12.98,7.44,2.12,9.8,0.58,4.09,7.07,4.3,2.44,2.18,13,1.12,8.15,0.97,0.22,1.02,9.65,6.21,3.53,0.28,1.6,1.1,12.31,1.43,1.06,1.3,1.88,1.47,0.54,2.55,3.24,2.21,0.65,0.63,0.71,2.81,1.34,0.61,0.84,0.19,9.73,1.17,4.17,4.78,0.61,2.05,1.23,0.24,0.19,0.37,0.17,1.34,0.02,0.63,1
User 7,7451,7451,0,24.53,78.43,14.27,50.29,13.02,7.3,4.27,0.48,1.45,0.58,0.52,5.72,5.01,15.07,9.38,3.82,9.38,0.93,5.69,9.31,5.14,2.47,2.63,8.09,1.06,6.58,0.19,0.19,0.59,6.44,4,2.54,0.21,1.37,0.31,16.29,2.19,1.53,1.5,2.85,1.53,0.55,3.17,4.09,3.45,2.11,0.71,0.48,1.97,1.07,0.3,0.63,0.12,11.3,1.14,5.06,5.44,0.97,1.19,1.85,0.17,0.48,0.32,0.07,0.81,0.2,0.48,1
User 8,5260,5260,0,23.25,74.05,10.55,39.47,13.04,10.17,5.19,0.25,3.56,0.84,0.34,2.87,2.03,11.01,6.01,1.69,7.74,0.63,2.64,10.42,2.74,2.28,1.14,11.77,0.15,10.1,0.53,0.15,1.29,11.77,6.67,5.06,0.23,0.59,3.76,12.34,1.18,1.39,1.05,0.91,1.24,0.4,4.22,2.32,3.76,1.16,1.43,0.99,6.79,5.49,0.42,0.63,0.4,7.6,1.37,2.78,3.4,0.87,0.68,1.03,0.06,0.51,0.38,0.06,0.74,0.11,0.23,1
User 9,13130,13130,0,21.2,79.88,13.71,53.12,15.56,9.47,6.62,0.43,1.29,0.72,0.42,6.09,5.49,13.58,8.26,3.06,9.05,0.84,5.81,9.98,5.51,1.69,3.02,6.85,0.29,7.07,0.25,0.14,0.91,6.25,4.36,1.95,0.3,0.68,0.37,14.77,2.26,1.26,1.24,2.48,1.71,0.4,3.09,3.4,2.73,1.37,0.65,0.61,2.32,0.98,0.5,0.66,0.24,11.22,1.07,4.42,5.88,1.01,1.29,1.73,0.24,0.43,0.23,0.24,0.61,0.05,0.42,1
User 10,3424,72.85,0.06,30.11,62.85,21.93,40.36,8.27,4.76,1.4,0.53,2.1,0.23,0.5,3.5,4.82,12.06,9.38,1.17,9.75,0.44,2.42,7.24,2.48,5.05,1.31,11.59,0.03,6.48,0.26,0.09,0.5,5.2,3.65,1.49,0.32,0.29,0.64,12.62,1.14,0.53,0.88,1.02,0.79,0.38,2.48,5.67,3.15,1.96,0.53,0.58,2.66,1.26,0.85,0.29,0.26,8.82,0.82,4.12,3.8,1.43,1.29,1.17,0.15,0.23,0.67,0.26,0.15,0.03,0.12,1
